name,state,price,currency,text,category,subcategory
"Front badge Steyr Puch, Puch eagle Steyr Puch (1959-1972)",Korišćeno,12000,din,"Prednja maska-amblem za Fiat Puch 500, solidno ocuvan.  
Samo za prave ljubitelje oldtajmera.",Automobili | Oprema,Oldtajmeri | Oprema
Texas Instruments USB Data Kabel,Korišćeno,1200,din,USB Data kabel za Texas Instruments kalkulatore.,Oprema za poslovanje,Kancelarija | Pribor i materijali
Texas Instruments TI30 Eco Solarni Kalkulator,Korišćeno,1200,din,Potpuno ispravan i odlicno ocuvan.,Oprema za poslovanje,Kancelarija | Pribor i materijali
Hewlett Packard 48GX Graficki Kalkulator,Korišćeno,150.0,€,"Hewlett Packard 48GX Graficki Kalkulator potpuno ispravan i odlicno ocuvan.

Rešite svoje probleme iz matematike i nauke u kratkom roku s kompaktnim kalkulatorom HP 48GX. Ovaj HP kalkulator ima ugrađenu biblioteku jednacina sa preko 300 formula koje olakšavaju izračune.
Nadalje, HP 48GX kalkulator podržava vezu sa stampacem koja omogućuje trenutni ispis grafikona i jednacina.
LCD ekran ovog kompaktnog kalkulatora omogućava pregled unesenih brojeva, formula, grafikona i jednacina.
Štaviše, ovaj kalkulator takođe jasno prikazuje dvo-i trostruku grafiku. Dakle, ako tražite kalkulator koji bi zadovoljio vaše potrebe, onda je ovaj HP kalkulator idealan.",Oprema za poslovanje,Kancelarija | Pribor i materijali
Beurer usb kabel za punjenje sata,Korišćeno,1200,din,"Beurer usb kabel za punjenje activity sensor sata, ipravan i ocuvan.",Mobilni tel. | Oprema i delovi,Kablovi i adapteri
Samsung BN59-00802A Mini TV Remote Control Pebble,Korišćeno,1800,din,"Samsung daljinski Peeble Mini daljinski BN59-00802A, potpuno ispravan i solidno ocuvan.",TV i Video,Daljinski upravljači
Logitech Harmony 300 Univerzalni Daljinski,Korišćeno,3600,din,"Prodajem Logitech Harmony 350, univerzalni daljinski upravljac koji moze da kontrolise 4 uredjaja.
Brzo se konfigurise preko aplikacije My Harmony, povezivanjem preko muni usb kabla sa kompjuterom. Baza uredjaja se svaki dan dopunjuje i ima preko 270.000 uredjaja. Ima i one touch funkciju preko koje se odmah pali TV zatim sat receiver i nakon toga audio pojacalo ili neki drugi uredjaj koji mu se dodeli.",TV i Video,Daljinski upravljači
Edimax N300 Mini Wi-Fi Extender/Access Point/Wi-Fi Bridge,Korišćeno,3600,din,"Prodajem Edimax N300 Mini Wi-Fi Extender koji radi i kao Access Point i Bridge.
Ispravan i perektno ocuvan.
Veoma jednostavno postavljanje uredjaja preko aplikacije za Apple ili Android telefone.

Proširuje opseg postojećih 802.11b / g / n Vi-Fi mreža iQ podešavanje za lako Wi-Fi proširenje Smart App Control & Analitics: Besplatna aplikacija EdiRange sa lokalnom Wi-Fi analizom okruženja, zakazivanjem Wi-Fi mreže i mrežom za goste
Pametan režim 3 u 1: Pristupna tačka, Wi-Fi Ekstender i Wi-Fi Bridge
Kompaktan, tanak zidni utikač za pogodan položaj.
Pronalazi najbolju lokaciju za podešavanje za optimalnu pokrivenost Wi-Fi signalom sa LED-om za jačinu signala
Sadrži hardverski WPS (Wi-Fi Protected Setup) dugme",Kompjuteri | Desktop,Mrežni uređaji
Amazon Fire Stick Model W87CUN,Korišćeno,3600,din,Prodajem Amazon Fire Stick potpuno ispravan i odlicno ocuvan.,TV i Video,Smart TV box
Sennheiser EW 100 G2 Wireless Mic Bodypack Transmitter,Korišćeno,9500,din,Prodajem Sennheiser EW100 G2 Bezicni predajnik potpuno ispravan i odlicno ocuvan.,Muzika i instrumenti,Ozvučenja | Bežični sistemi
Scubapro R190 Regulator za ronjenje,Korišćeno,120.0,€,Prodajem Scubapro regulator potpuno ispravan i solidno ocuvan sa sitnim tragovima koriscenja.,Sport i razonoda,Ronilačka oprema
Ray Charles The Asolutely Essential Collection,Korišćeno,1000,din,Prodajem kolekciju Ray Charlesa Apsolutno esencijalnu na 3 Kompakt diska.,"Audio | Vinili, CD i kasete",Originalni CD-ovi | Strani
Jack Daniels Kozna torbica sa prelepom kopcom,Kao novo - nekorišćeno,2400,din,"Prodajem koznu torbicu Jack Daniels, odlicno ocuvanu, kao nova je, ako i nije.","Torbe, novčanici i asesoari",Torbe | Muške
Logitech K400 Tastatura i Touchpad,Korišćeno,2000,din,"Prodajem Logitech K400 tastaturu sa touchpadom, potpuno ispravna i odlicno ocuvana, prodaje se bez unifying receivera.",Kompjuteri | Desktop,Tastature
